"filename", "language", "C++", "CMake", "Dart", "JSON", "Markdown", "HTML", "Swift", "YAML", "XML", "Properties", "comment", "blank", "total"
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 17, 10, 49
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\web\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 5, 39
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 532, 425, 8940, 248, 13, 19, 49, 28, 472, 8, 1271, 1462, 13467
